index,image,x,y
0,rand_dart0.jpg,232,291
1,rand_dart1.jpg,323,131
2,rand_dart2.jpg,272,413
3,rand_dart3.jpg,215,329
4,rand_dart4.jpg,411,378
5,rand_dart5.jpg,470,424
6,rand_dart6.jpg,224,358
7,rand_dart7.jpg,308,144
8,rand_dart8.jpg,316,309
9,rand_dart9.jpg,233,281
10,rand_dart10.jpg,378,209
11,rand_dart11.jpg,530,364
12,rand_dart12.jpg,475,236
13,rand_dart13.jpg,299,119
14,rand_dart14.jpg,349,401
15,rand_dart15.jpg,357,424
16,rand_dart16.jpg,473,114
17,rand_dart17.jpg,264,153
18,rand_dart18.jpg,346,191
19,rand_dart19.jpg,494,376
20,rand_dart20.jpg,373,389
21,rand_dart21.jpg,440,264
22,rand_dart22.jpg,254,169
23,rand_dart23.jpg,400,314
24,rand_dart24.jpg,535,171
25,rand_dart25.jpg,227,244
26,rand_dart26.jpg,447,434
27,rand_dart27.jpg,371,107
28,rand_dart28.jpg,312,292
29,rand_dart29.jpg,523,239
30,rand_dart30.jpg,416,428
31,rand_dart31.jpg,530,270
32,rand_dart32.jpg,482,314
33,rand_dart33.jpg,256,210
34,rand_dart34.jpg,414,423
35,rand_dart35.jpg,327,460
36,rand_dart36.jpg,220,267
37,rand_dart37.jpg,472,440
38,rand_dart38.jpg,564,301
39,rand_dart39.jpg,491,192
40,rand_dart40.jpg,353,295
41,rand_dart41.jpg,304,136
42,rand_dart42.jpg,194,243
43,rand_dart43.jpg,502,235
44,rand_dart44.jpg,279,424
45,rand_dart45.jpg,493,301
46,rand_dart46.jpg,190,252
47,rand_dart47.jpg,270,224
48,rand_dart48.jpg,291,370
49,rand_dart49.jpg,190,280
50,rand_dart50.jpg,389,419
51,rand_dart51.jpg,215,240
52,rand_dart52.jpg,389,272
53,rand_dart53.jpg,256,403
54,rand_dart54.jpg,309,219
55,rand_dart55.jpg,497,306
56,rand_dart56.jpg,430,147
57,rand_dart57.jpg,334,314
58,rand_dart58.jpg,378,318
59,rand_dart59.jpg,520,166
60,rand_dart60.jpg,316,155
61,rand_dart61.jpg,225,308
62,rand_dart62.jpg,393,92
63,rand_dart63.jpg,424,313
64,rand_dart64.jpg,307,356
65,rand_dart65.jpg,451,390
66,rand_dart66.jpg,356,295
67,rand_dart67.jpg,257,215
68,rand_dart68.jpg,411,427
69,rand_dart69.jpg,267,150
70,rand_dart70.jpg,379,130
71,rand_dart71.jpg,402,304
72,rand_dart72.jpg,331,315
73,rand_dart73.jpg,243,382
74,rand_dart74.jpg,247,233
75,rand_dart75.jpg,273,190
76,rand_dart76.jpg,400,450
77,rand_dart77.jpg,350,429
78,rand_dart78.jpg,285,313
79,rand_dart79.jpg,404,171
80,rand_dart80.jpg,227,314
81,rand_dart81.jpg,453,160
82,rand_dart82.jpg,236,378
83,rand_dart83.jpg,362,224
84,rand_dart84.jpg,377,140
85,rand_dart85.jpg,401,328
86,rand_dart86.jpg,299,146
87,rand_dart87.jpg,348,374
88,rand_dart88.jpg,291,351
89,rand_dart89.jpg,378,190
90,rand_dart90.jpg,562,312
91,rand_dart91.jpg,200,314
92,rand_dart92.jpg,490,278
93,rand_dart93.jpg,421,307
94,rand_dart94.jpg,201,304
95,rand_dart95.jpg,524,211
96,rand_dart96.jpg,418,347
97,rand_dart97.jpg,528,286
98,rand_dart98.jpg,238,150
99,rand_dart99.jpg,382,162
100,rand_dart100.jpg,259,189
101,rand_dart101.jpg,424,449
102,rand_dart102.jpg,427,381
103,rand_dart103.jpg,259,177
104,rand_dart104.jpg,492,132
105,rand_dart105.jpg,406,310
106,rand_dart106.jpg,491,403
107,rand_dart107.jpg,474,169
108,rand_dart108.jpg,240,304
109,rand_dart109.jpg,253,405
110,rand_dart110.jpg,364,299
111,rand_dart111.jpg,307,369
112,rand_dart112.jpg,314,187
113,rand_dart113.jpg,520,195
114,rand_dart114.jpg,412,342
115,rand_dart115.jpg,238,168
116,rand_dart116.jpg,355,364
117,rand_dart117.jpg,406,362
118,rand_dart118.jpg,427,249
119,rand_dart119.jpg,264,435
120,rand_dart120.jpg,343,364
121,rand_dart121.jpg,249,348
122,rand_dart122.jpg,262,370
123,rand_dart123.jpg,350,151
124,rand_dart124.jpg,288,242
125,rand_dart125.jpg,430,350
126,rand_dart126.jpg,191,289
